127.0.0.1 - - [20/Jul/2023:10:33:23 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:33:23 +0900] "GET /kosSpring/index.html HTTP/1.1" 200 1826
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:33:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:33:28 +0900] "GET /kosSpring/mainPage.lhd HTTP/1.1" 200 16000
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:33:28 +0900] "GET /kosSpring/css/main.css HTTP/1.1" 200 982
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:33:28 +0900] "GET /kosSpring/include/css/mainstyle.css HTTP/1.1" 200 30633
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:33:28 +0900] "GET /kosSpring/js/common.js HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:33:30 +0900] "GET /kosSpring/img/img_book/book0.jpg HTTP/1.1" 200 51258
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:33:30 +0900] "GET /kosSpring/img/img_book/book1.jpg HTTP/1.1" 200 22421
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:33:30 +0900] "GET /kosSpring/img/img_book/book2.jpg HTTP/1.1" 200 41045
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:33:30 +0900] "GET /kosSpring/img/img_book/book3.jpg HTTP/1.1" 200 33704
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:33:30 +0900] "GET /kosSpring/include/img/1__(3).png HTTP/1.1" 200 19220
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:33:30 +0900] "GET /kosSpring/img/img_css/bg.jpg HTTP/1.1" 200 81304
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:38:16 +0900] "GET /kosSpring/mainPage.lhd HTTP/1.1" 500 8576
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:38:16 +0900] "GET /kosSpring/img/img_music/guitar-bg.jpg HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:41:15 +0900] "GET /kosSpring/mainPage.lhd HTTP/1.1" 500 8576
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:41:15 +0900] "GET /kosSpring/img/img_music/guitar-bg.jpg HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:42:39 +0900] "GET /kosSpring/mainPage.lhd HTTP/1.1" 500 8576
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:42:39 +0900] "GET /kosSpring/img/img_music/guitar-bg.jpg HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:42:41 +0900] "GET /kosSpring/mainPage.lhd HTTP/1.1" 500 8576
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:42:41 +0900] "GET /kosSpring/img/img_music/guitar-bg.jpg HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:42:42 +0900] "GET /kosSpring/mainPage.lhd HTTP/1.1" 500 8576
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:42:42 +0900] "GET /kosSpring/img/img_music/guitar-bg.jpg HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:42:53 +0900] "GET /kosSpring/mainPage.lhd HTTP/1.1" 500 8576
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:42:53 +0900] "GET /kosSpring/img/img_music/guitar-bg.jpg HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:43:00 +0900] "GET /kosSpring/mainPage.lhd HTTP/1.1" 500 8576
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:43:00 +0900] "GET /kosSpring/js/common.js HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:43:00 +0900] "GET /kosSpring/include/css/mainstyle.css HTTP/1.1" 200 30633
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:43:00 +0900] "GET /kosSpring/css/main.css HTTP/1.1" 200 982
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:43:00 +0900] "GET /kosSpring/img/img_music/guitar-bg.jpg HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:43:00 +0900] "GET /kosSpring/img/img_css/bg.jpg HTTP/1.1" 200 81304
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:43:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
